11/06/2018, Arlington Baptist ,W 107 - 54 
11/09/2018, Arkansas St. ,W 94 - 73 
11/15/2018,@ Denver ,W 67 - 61 
11/22/2018, Elon ,W 72 - 56 
11/23/2018,@ Pacific ,W 73 - 71 
11/24/2018, UC Riverside ,W 60 - 48 
11/27/2018, Howard Payne ,W 90 - 53 
12/01/2018,@ Pepperdine ,L 62 - 77 
12/04/2018, Campbell ,W 83 - 68 
12/08/2018, Schreiner ,W 93 - 53 
12/15/2018,@ Texas Tech ,L 48 - 82 
12/21/2018,@ Southeast Mo. St. ,W 70 - 68 
12/29/2018, McMurry ,W 88 - 40 
01/02/2019, New Orleans ,W 68 - 58 
01/05/2019,@ Sam Houston St. ,L 68 - 71 
01/09/2019,@ McNeese ,W 73 - 72 
01/12/2019,@ Southeastern La. ,W 75 - 72 
01/16/2019, Houston Baptist ,W 75 - 68 
01/19/2019, Northwestern St. ,W 78 - 69 
01/23/2019,@ SFA ,L 60 - 61 
01/26/2019, Central Ark. ,W 79 - 56 
01/30/2019, A&M-Corpus Christi ,W 78 - 71 
02/06/2019,@ Lamar University ,W 75 - 64 
02/09/2019, Sam Houston St. ,L 85 - 90 (2OT)
02/13/2019,@ Nicholls St. ,W 64 - 48 
02/16/2019,@ Incarnate Word ,W 68 - 48 
02/23/2019, Southeastern La. ,L 66 - 75 
02/27/2019,@ A&M-Corpus Christi ,W 73 - 64 
03/02/2019,@ Central Ark. ,W 67 - 55 
03/05/2019, SFA ,W 72 - 58 
03/09/2019, Incarnate Word ,W 81 - 52 
03/15/2019, Southeastern La. ,W 69 - 66 
03/16/2019, New Orleans ,W 77 - 60 
