11/07/2018, Wis.-Parkside ,W 74 - 58 
11/10/2018, Southeast Mo. St. ,W 68 - 57 
11/14/2018, Jacksonville St. ,W 74 - 65 
11/17/2018,@ UIC ,L 70 - 71 
11/20/2018, SMU ,W 75 - 62 
11/21/2018, Penn St. ,W 59 - 56 
11/24/2018, Chicago St. ,W 86 - 70 
11/28/2018,@ IUPUI ,L 73 - 85 
12/01/2018, New Mexico ,L 75 - 85 
12/04/2018,@ Little Rock ,W 68 - 62 
12/15/2018, Eastern Ill. ,L 66 - 73 
12/18/2018,@ Ga. Southern ,L 74 - 79 (1OT)
12/22/2018, Southeastern La. ,W 63 - 60 
01/02/2019, UNI ,L 47 - 65 
01/05/2019,@ Indiana St. ,L 60 - 65 
01/08/2019,@ Valparaiso ,L 50 - 61 
01/12/2019, Missouri St. ,L 64 - 69 
01/16/2019, Drake ,L 52 - 69 
01/20/2019,@ Southern Ill. ,W 57 - 54 
01/23/2019, Illinois St. ,W 85 - 68 
01/26/2019,@ Missouri St. ,L 37 - 55 
01/30/2019,@ Evansville ,W 81 - 73 
02/02/2019, Southern Ill. ,L 68 - 72 
02/06/2019,@ UNI ,W 79 - 71 
02/09/2019, Indiana St. ,W 96 - 67 
02/13/2019, Loyola Chicago ,W 61 - 54 
02/16/2019,@ Illinois St. ,W 65 - 59 
02/19/2019,@ Drake ,L 68 - 77 
02/23/2019, Evansville ,W 63 - 61 
02/27/2019, Valparaiso ,W 67 - 42 
03/02/2019,@ Loyola Chicago ,L 68 - 81 
03/08/2019, Missouri St. ,W 61 - 58 
03/09/2019, Loyola Chicago ,W 53 - 51 
03/10/2019, UNI ,W 57 - 54 
