11/06/2018, Florida ,W 81 - 60 
11/11/2018,@ Tulane ,W 80 - 69 
11/19/2018, Canisius ,W 93 - 61 
11/22/2018, UAB ,W 81 - 63 
11/23/2018, LSU ,W 79 - 76 (1OT)
11/25/2018, Villanova ,L 60 - 66 
11/28/2018, Purdue ,W 73 - 72 
12/03/2018, Troy ,W 83 - 67 
12/08/2018, UConn ,W 79 - 71 
12/17/2018, Southeast Mo. St. ,W 85 - 68 
12/19/2018, North Florida ,W 95 - 81 
12/22/2018, Saint Louis ,W 81 - 59 
01/01/2019, Winthrop ,W 87 - 76 
01/05/2019,@ Virginia ,L 52 - 65 
01/09/2019, Miami (FL) ,W 68 - 62 
01/12/2019, Duke ,L 78 - 80 
01/14/2019,@ Pittsburgh ,L 62 - 75 
01/20/2019,@ Boston College ,L 82 - 87 
01/22/2019, Clemson ,W 77 - 68 
01/27/2019,@ Miami (FL) ,W 78 - 66 
02/02/2019, Georgia Tech ,W 59 - 49 
02/05/2019,@ Syracuse ,W 80 - 62 
02/09/2019, Louisville ,W 80 - 75 (1OT)
02/13/2019, Wake Forest ,W 88 - 66 
02/16/2019,@ Georgia Tech ,W 69 - 47 
02/19/2019,@ Clemson ,W 77 - 64 
02/23/2019,@ North Carolina ,L 59 - 77 
02/25/2019, Notre Dame ,W 68 - 61 
03/02/2019, NC State ,W 78 - 73 
03/05/2019, Virginia Tech ,W 73 - 64 (1OT)
03/09/2019,@ Wake Forest ,W 65 - 57 
03/14/2019, Virginia Tech ,W 65 - 63 (1OT)
03/15/2019, Virginia ,W 69 - 59 
03/16/2019, Duke ,L 63 - 73 
