11/06/2018,@ Florida St. ,L 60 - 81 
11/09/2018, Charleston So. ,W 76 - 46 
11/14/2018, La Salle ,W 82 - 69 
11/21/2018, Oklahoma ,L 60 - 65 
11/22/2018, Stanford ,W 72 - 49 
11/23/2018, Butler ,L 54 - 61 
11/27/2018, North Florida ,W 98 - 66 
12/04/2018, West Virginia ,W 66 - 56 
12/08/2018, Michigan St. ,L 59 - 63 
12/18/2018, Mercer ,W 71 - 63 
12/22/2018, FGCU ,W 77 - 56 
12/29/2018, Butler ,W 77 - 43 
01/05/2019, South Carolina ,L 69 - 71 
01/09/2019,@ Arkansas ,W 57 - 51 
01/12/2019, Tennessee ,L 67 - 78 
01/15/2019,@ Mississippi St. ,L 68 - 71 
01/19/2019,@ Georgia ,W 62 - 52 
01/22/2019, Texas A&M ,W 81 - 72 
01/26/2019,@ TCU ,L 50 - 55 
01/30/2019, Ole Miss ,W 90 - 86 (1OT)
02/02/2019, Kentucky ,L 54 - 65 
02/05/2019,@ Auburn ,L 62 - 76 
02/09/2019,@ Tennessee ,L 61 - 73 
02/13/2019, Vanderbilt ,W 66 - 57 
02/16/2019, Alabama ,W 71 - 53
02/20/2019,@ LSU ,W 82 - 77 (1OT)
02/23/2019, Missouri ,W 64 - 60 
02/27/2019,@ Vanderbilt ,W 71 - 55 
03/02/2019, Georgia ,L 55 - 61 
03/06/2019, LSU ,L 78 - 79 (1OT)
03/09/2019,@ Kentucky ,L 57 - 66 
03/14/2019, Arkansas ,W 66 - 50 
03/15/2019, LSU ,W 76 - 73 
03/16/2019, Auburn ,L 62 - 65 
