11/06/2018,@ VCU ,L 57 - 69 
11/09/2018,@ Virginia Tech ,L 59 - 87 
11/13/2018,@ Furman ,L 86 - 88 (1OT)
11/16/2018,@ Savannah St. ,W 97 - 77 
11/23/2018, Eastern Ill. ,L 78 - 79 
11/24/2018, UNCW ,W 81 - 72 
11/25/2018, Arkansas St. ,L 69 - 77 
11/28/2018,@ USC Upstate ,W 74 - 61 
12/01/2018, Savannah St. ,W 97 - 60 
12/06/2018, Bob Jones ,W 105 - 37 
12/08/2018, JWU (Charlotte) ,W 102 - 55 
12/13/2018, Kennesaw St. ,W 81 - 77 (1OT)
12/17/2018,@ Georgia Tech ,W 79 - 69 
12/19/2018, Brevard ,W 106 - 29 
12/29/2018,@ Wake Forest ,W 73 - 69 
01/05/2019,@ Campbell ,L 61 - 72 
01/12/2019, USC Upstate ,W 64 - 59 
01/17/2019,@ Radford ,L 58 - 75 
01/19/2019, Hampton ,W 87 - 74 (1OT)
01/24/2019,@ Winthrop ,L 88 - 97 
01/26/2019,@ Charleston So. ,L 60 - 74 
01/30/2019, High Point ,W 69 - 67 
02/02/2019, UNC Asheville ,W 82 - 81 (1OT)
02/07/2019,@ Longwood ,W 89 - 88 (1OT)
02/09/2019,@ Presbyterian ,L 101 - 103 (1OT)
02/13/2019, Charleston So. ,W 77 - 74 
02/16/2019, Winthrop ,W 64 - 60 
02/21/2019,@ UNC Asheville ,W 65 - 55 
02/23/2019,@ High Point ,L 79 - 87 
02/27/2019, Presbyterian ,W 78 - 70 
03/02/2019, Longwood ,W 66 - 47 
03/07/2019, High Point ,W 75 - 69 
03/08/2019,@ Campbell ,W 79 - 74 
03/10/2019,@ Radford ,W 76 - 65 
