11/06/2018, Duke ,L 84 - 118 
11/09/2018, Southern Ill. ,W 71 - 59 
11/14/2018, North Dakota ,W 96 - 58 
11/18/2018, VMI ,W 92 - 82 
11/21/2018, Winthrop ,W 87 - 74 
11/23/2018, Tennessee St. ,W 77 - 62 
11/28/2018, Monmouth ,W 90 - 44 
12/01/2018, UNC Greensboro ,W 78 - 61 
12/08/2018, Seton Hall ,L 83 - 84 (1OT)
12/15/2018, Utah ,W 88 - 61 
12/22/2018, North Carolina ,W 80 - 72 
12/29/2018,@ Louisville ,W 71 - 58 
01/05/2019,@ Alabama ,L 75 - 77 
01/08/2019, Texas A&M ,W 85 - 74 
01/12/2019, Vanderbilt ,W 56 - 47 
01/15/2019,@ Georgia ,W 69 - 49 
01/19/2019,@ Auburn ,W 82 - 80 
01/22/2019, Mississippi St. ,W 76 - 55 
01/26/2019, Kansas ,W 71 - 63 
01/29/2019,@ Vanderbilt ,W 87 - 52 
02/02/2019,@ Florida ,W 65 - 54 
02/05/2019, South Carolina ,W 76 - 48 
02/09/2019,@ Mississippi St. ,W 71 - 67 
02/12/2019, LSU ,L 71 - 73 
02/16/2019, Tennessee ,W 86 - 69 
02/19/2019,@ Missouri ,W 66 - 58 
02/23/2019, Auburn ,W 80 - 53 
02/26/2019, Arkansas ,W 70 - 66 
03/02/2019,@ Tennessee ,L 52 - 71 
03/05/2019,@ Ole Miss ,W 80 - 76 
03/09/2019, Florida ,W 66 - 57 
03/15/2019, Alabama ,W 73 - 55 
03/16/2019, Tennessee ,L 78 - 82 
