11/06/2018, Wilmington (OH) ,W 102 - 38 
11/09/2018,@ Northern Ill. ,W 88 - 85 (2OT)
11/11/2018, Wabash ,W 99 - 59 
11/16/2018, UNC Asheville ,W 77 - 50 
11/17/2018, Manhattan ,W 59 - 53 
11/18/2018, Coastal Caro. ,W 89 - 83 
11/24/2018,@ UCF ,L 53 - 66 
11/27/2018,@ Morehead St. ,W 93 - 71 
11/30/2018, UMBC ,W 78 - 60 
12/04/2018,@ Cincinnati ,L 65 - 78 
12/08/2018,@ Eastern Ky. ,L 74 - 76 
12/16/2018, Miami (OH) ,W 72 - 66 
12/20/2018, Northern Ill. ,W 65 - 62 
12/28/2018, IUPUI ,W 92 - 77 
12/30/2018, UIC ,W 73 - 58 
01/03/2019,@ Oakland ,L 74 - 76 
01/05/2019,@ Detroit Mercy ,W 95 - 73 
01/11/2019, Wright St. ,W 68 - 64 
01/17/2019,@ Cleveland St. ,W 91 - 76 
01/19/2019,@ Youngstown St. ,W 82 - 74 
01/24/2019, Green Bay ,W 87 - 65 
01/26/2019, Milwaukee ,W 73 - 60 
02/01/2019,@ IUPUI ,L 77 - 83 
02/03/2019,@ UIC ,L 67 - 69 
02/07/2019, Detroit Mercy ,W 97 - 65 
02/09/2019, Oakland ,W 79 - 64 
02/15/2019,@ Wright St. ,L 77 - 81 
02/21/2019, Youngstown St. ,W 76 - 69 
02/23/2019, Cleveland St. ,L 77 - 83 
02/28/2019,@ Milwaukee ,W 65 - 55 
03/02/2019,@ Green Bay ,W 86 - 82 
03/06/2019, Detroit Mercy ,W 99 - 88 
03/11/2019, Oakland ,W 64 - 63 
03/12/2019, Wright St. ,W 77 - 66 
