11/06/2018, Portland St. ,W 84 - 57 
11/09/2018, Eastern Wash. ,W 81 - 47 
11/15/2018, Iowa ,L 69 - 77 
11/16/2018, Syracuse ,W 80 - 65 
11/20/2018, Green Bay ,W 83 - 72 
11/26/2018, Texas Southern ,L 84 - 89 
12/01/2018,@ Houston ,L 61 - 65 
12/08/2018, Omaha ,W 84 - 61 
12/12/2018, San Diego ,W 65 - 55 
12/15/2018, Boise St. ,W 66 - 54 
12/18/2018, Florida A&M ,W 71 - 64 
12/21/2018,@ Baylor ,L 47 - 57 
12/29/2018,@ Boise St. ,W 62 - 50 
01/05/2019, Oregon St. ,L 72 - 77 
01/10/2019, UCLA ,L 84 - 87 (1OT)
01/13/2019, Southern California ,W 81 - 60 
01/17/2019,@ Arizona ,W 59 - 54 
01/19/2019,@ Arizona St. ,L 64 - 78 
01/24/2019, Washington ,L 56 - 61 
01/27/2019, Washington St. ,W 78 - 58 
01/31/2019,@ Utah ,W 78 - 72 
02/02/2019,@ Colorado ,L 51 - 73 
02/06/2019, California ,W 73 - 62 
02/10/2019, Stanford ,W 69 - 46 
02/16/2019,@ Oregon St. ,L 57 - 72 
02/21/2019,@ Southern California ,L 49 - 66 
02/23/2019,@ UCLA ,L 83 - 90 
02/28/2019, Arizona St. ,W 79 - 51 
03/02/2019, Arizona ,W 73 - 47 
03/06/2019,@ Washington St. ,W 72 - 61 
03/09/2019,@ Washington ,W 55 - 47 
03/13/2019, Washington St. ,W 84 - 51 
03/14/2019, Utah ,W 66 - 54 
03/15/2019, Arizona St. ,W 79 - 75 (1OT)
03/16/2019, Washington ,W 68 - 48 
