11/06/2018, Rider ,W 84 - 70 
11/11/2018, Fla. Atlantic ,L 79 - 80 
11/15/2018, Cal St. Fullerton ,W 68 - 52 
11/16/2018, Saint Joseph's ,W 77 - 57 
11/18/2018, Western Ky. ,W 78 - 62 
11/24/2018, Northern Ky. ,W 66 - 53 
11/29/2018, Alabama ,W 70 - 64 
12/02/2018,@ Missouri ,L 62 - 64 (1OT)
12/08/2018, Grambling ,W 70 - 45 
12/11/2018, Ga. Southern ,W 95 - 88 
12/16/2018, Stetson ,W 90 - 65 
12/21/2018, Illinois St. ,W 77 - 56 
01/02/2019, Temple ,W 78 - 73 
01/05/2019,@ UConn ,W 65 - 53 
01/13/2019, East Carolina ,W 76 - 65 
01/16/2019,@ Wichita St. ,L 67 - 75 
01/19/2019, Tulsa ,W 64 - 62 
01/23/2019,@ Tulane ,W 75 - 50 
01/27/2019,@ Memphis ,L 57 - 77 
01/31/2019, UConn ,W 73 - 67 
02/07/2019, Houston ,L 68 - 77 
02/10/2019,@ SMU ,W 71 - 65 
02/13/2019, South Fla. ,W 78 - 65 
02/16/2019, Memphis ,W 79 - 72 
02/21/2019,@ Cincinnati ,L 55 - 60 
02/24/2019, SMU ,W 95 - 48 
02/27/2019,@ South Fla. ,W 75 - 63 
03/02/2019,@ Houston ,W 69 - 64 
03/07/2019, Cincinnati ,W 58 - 55 
03/09/2019,@ Temple ,L 62 - 67 
03/15/2019, Memphis ,L 55 - 79 
