11/09/2018,@ Boston U. ,W 78 - 72 
11/12/2018,@ Kansas ,L 68 - 84 
11/14/2018, NVU-Lyndon ,W 122 - 56 
11/16/2018,@ Louisville ,L 78 - 86 
11/21/2018, Yale ,W 79 - 70 
11/25/2018, Bucknell ,L 61 - 69 
11/28/2018,@ George Washington ,W 69 - 53 
11/30/2018,@ Towson ,W 70 - 64 
12/03/2018,@ George Mason ,W 72 - 67 
12/08/2018, Harvard ,W 71 - 65 
12/16/2018, Northeastern ,W 75 - 70 
12/18/2018, St. Bonaventure ,W 83 - 76 (2OT)
12/21/2018,@ Lipscomb ,L 66 - 91 
01/02/2019, Dartmouth ,W 73 - 59 
01/05/2019,@ Albany (NY) ,W 80 - 51 
01/09/2019,@ Maine ,W 73 - 49 
01/12/2019, Hartford ,W 81 - 62 
01/16/2019,@ New Hampshire ,W 73 - 59 
01/19/2019, Binghamton ,W 78 - 50 
01/23/2019, UMBC ,L 61 - 74 
01/26/2019,@ Stony Brook ,W 73 - 52 
02/02/2019,@ UMass Lowell ,W 74 - 65 
02/06/2019, Maine ,W 86 - 63 
02/09/2019, Albany (NY) ,W 67 - 49 
02/13/2019, New Hampshire ,W 73 - 44 
02/16/2019,@ Hartford ,W 77 - 75 
02/21/2019,@ UMBC ,L 56 - 65 
02/23/2019,@ Binghamton ,W 69 - 63 
03/02/2019, Stony Brook ,W 56 - 50 
03/05/2019, UMass Lowell ,W 74 - 57 
03/09/2019, Maine ,W 73 - 57 
03/12/2019, Binghamton ,W 84 - 51 
03/16/2019, UMBC ,W 66 - 49 
