11/06/2018, Morgan St. ,W 100 - 77
11/10/2018, Quinnipiac ,W 86 - 53
11/14/2018, Michigan ,L 46 - 73
11/17/2018, Furman ,L 68 - 76 (1OT)
11/22/2018, Canisius ,W 83 - 56
11/23/2018, Oklahoma St. ,W 77 - 58
11/25/2018, Florida St. ,W 66 - 60
12/01/2018,@ La Salle ,W 85 - 78
12/05/2018, Temple ,W 69 - 59
12/08/2018, Saint Joseph's ,W 70 - 58
12/11/2018,@ Penn ,L 75 - 78
12/15/2018,@ Kansas ,L 71 - 74
12/22/2018, UConn ,W 81 - 58
01/02/2019, DePaul ,W 73 - 68
01/05/2019,@ Providence ,W 65 - 59
01/08/2019, St. John's (NY) ,W 76 - 71
01/13/2019,@ Creighton ,W 90 - 78
01/18/2019, Xavier ,W 85 - 75
01/22/2019,@ Butler ,W 80 - 72
01/27/2019, Seton Hall ,W 80 - 52
01/30/2019,@ DePaul ,W 86 - 74
02/03/2019, Georgetown ,W 77 - 65
02/06/2019, Creighton ,W 66 - 59 (1OT)
02/09/2019,@ Marquette ,L 65 - 66
02/13/2019, Providence ,W 85 - 67
02/17/2019,@ St. John's (NY) ,L 65 - 71
02/20/2019,@ Georgetown ,L 73 - 85
02/24/2019, Xavier ,L 54 - 66
02/27/2019, Marquette ,W 67 - 61
03/02/2019, Butler ,W 75 - 54
03/09/2019,@ Seton Hall ,L 75 - 79
03/14/2019, Providence ,W 73 - 62
03/15/2019, Xavier ,W 71 - 67 (1OT)
03/16/2019, Seton Hall ,W 74 - 72
